provincia	departamen	Blanco	LLA	NULO	OTRO	UxP	total	total.valido
santiago del estero	atamisqui	42	1170	31	1	7155	8399	8325
santiago del estero	avellaneda	77	3104	43	0	11611	14835	14715
santiago del estero	banda	700	35087	836	59	68654	105336	103741
santiago del estero	belgrano	49	3597	49	0	2927	6622	6524
santiago del estero	capital	1760	79927	2104	53	124730	208574	204657
santiago del estero	choya	193	6381	203	8	18403	25188	24784
santiago del estero	copo	94	4706	68	10	14877	19755	19583
santiago del estero	figueroa	35	1148	33	1	10266	11483	11414
santiago del estero	general taboada	200	8425	166	5	20063	28859	28488
santiago del estero	guasayan	18	1118	18	4	4757	5915	5875
santiago del estero	jimenez	34	1633	20	0	7731	9418	9364
santiago del estero	juan f. ibarra	67	2663	33	1	8571	11335	11234
santiago del estero	loreto	78	3899	80	1	10282	14340	14181
santiago del estero	mitre	9	274	7	0	398	688	672
santiago del estero	moreno	161	6528	100	8	15677	22474	22205
santiago del estero	ojo de agua	89	3362	83	1	6440	9975	9802
santiago del estero	pellegrini	76	3025	36	1	11789	14927	14814
santiago del estero	quebrachos	36	2622	58	2	3623	6341	6245
santiago del estero	rio hondo	256	10515	398	3	28807	39979	39322
santiago del estero	rivadavia	20	1663	12	0	1414	3109	3077
santiago del estero	robles	226	10031	179	9	21627	32072	31658
santiago del estero	salavina	39	1425	41	1	5495	7001	6920
santiago del estero	san martin	11	642	5	0	5595	6253	6237
santiago del estero	sarmiento	8	398	10	1	2055	2472	2453
santiago del estero	silipica	40	784	23	1	5400	6248	6184
tierra del fuego	islas del atlantico sur	5	173	0	0	18	196	191
tierra del fuego	rio grande	617	28819	1890	66	28914	60306	57733
tierra del fuego	ushuaia	477	25840	1521	32	19114	46984	44954
tucuman	burruyacu	187	10358	209	29	19772	30555	30130
tucuman	capital	3470	219842	5595	304	144549	373760	364391
tucuman	chicligasta	392	28880	619	19	28530	58440	57410
tucuman	cruz alta	916	65480	1365	161	79034	146956	144514
tucuman	famailla	224	12756	252	18	13684	26934	26440
tucuman	graneros	74	2793	44	0	7445	10356	10238
tucuman	juan b. alberdi	135	10306	164	8	11702	22315	22008
tucuman	la cocha	98	5727	94	60	8275	14254	14002
tucuman	leales	228	16159	370	16	25638	42411	41797
tucuman	lules	300	26453	587	50	21335	48725	47788
tucuman	monteros	337	18983	299	35	28834	48488	47817
tucuman	rio chico	328	15898	251	22	26739	43238	42637
tucuman	simoca	148	8150	110	9	15723	24140	23873
tucuman	tafi del valle	106	5467	175	6	7515	13269	12982
tucuman	tafi viejo	860	58987	1441	124	44385	105797	103372
tucuman	trancas	109	6381	148	9	7080	13727	13461
tucuman	yerba buena	734	42389	862	44	22398	66427	64787
