provincia	departamen	Blanco	LLA	NULO	OTRO	UxP	total	total.valido
buenos aires	rivadavia	210	6994	84	0	3979	11267	10973
buenos aires	rojas	332	9475	296	4	5836	15943	15311
buenos aires	roque perez	128	5217	114	4	3426	8889	8643
buenos aires	saavedra	226	8890	341	1	4017	13475	12907
buenos aires	saladillo	405	13735	539	3	7707	22389	21442
buenos aires	salliquelo	59	3331	71	2	2311	5774	5642
buenos aires	salto	564	13585	140	1	9015	23305	22600
buenos aires	san andres de giles	475	9008	89	4	6587	16163	15595
buenos aires	san antonio de areco	278	10286	329	12	5863	16768	16149
buenos aires	san cayetano	118	3458	68	0	1804	5448	5262
buenos aires	san fernando	2073	49865	844	77	50181	103040	100046
buenos aires	san isidro	4595	130059	3505	206	71104	209469	201163
buenos aires	san miguel	2722	92652	2653	100	89097	187224	181749
buenos aires	san nicolas	2257	54389	1079	64	41645	99434	96034
buenos aires	san pedro	606	23413	600	7	16391	41017	39804
buenos aires	san vicente	719	19967	528	30	24880	46124	44847
buenos aires	suipacha	91	4159	85	8	3505	7848	7664
buenos aires	tandil	1919	51223	1968	60	31644	86814	82867
buenos aires	tapalque	159	3624	50	2	2749	6584	6373
buenos aires	tigre	3921	128526	3624	126	118382	254579	246908
buenos aires	tordillo	13	1008	28	5	743	1797	1751
buenos aires	tornquist	209	6811	143	1	3715	10879	10526
buenos aires	trenque lauquen	606	18447	517	5	10521	30096	28968
buenos aires	tres arroyos	646	21607	725	9	16075	39062	37682
buenos aires	tres de febrero	4074	105315	3566	233	105705	218893	211020
buenos aires	tres lomas	128	2831	76	1	2018	5054	4849
buenos aires	vicente lopez	5176	106078	3643	121	63362	178380	169440
buenos aires	villa gesell	327	12390	359	16	9350	22442	21740
buenos aires	villarino	283	12534	369	5	5198	18389	17732
buenos aires	zarate	1506	38211	954	32	37972	78675	76183
catamarca	ambato	47	1824	38	3	2299	4211	4123
catamarca	ancasti	17	713	33	0	1089	1852	1802
catamarca	andalgala	115	5768	142	2	5388	11415	11156
catamarca	belen	199	8108	186	8	7219	15720	15327
catamarca	capayan	114	4375	106	7	5687	10289	10062
catamarca	capital	1145	56494	1449	112	41036	100236	97530
catamarca	el alto	35	1098	36	0	2107	3276	3205
catamarca	fray mamerto esquiu	262	4695	144	1	4038	9140	8733
catamarca	la paz	211	5960	152	6	9794	16123	15754
catamarca	paclin	21	1366	17	12	1946	3362	3312
catamarca	poman	49	3111	70	0	3810	7040	6921
catamarca	santa maria	131	8642	203	6	6707	15689	15349
catamarca	santa rosa	64	3360	76	0	4966	8466	8326
catamarca	tinogasta	195	6999	204	2	5770	13170	12769
catamarca	valle viejo	211	11075	326	11	8865	20488	19940
chaco	12 de octubre	137	6484	96	3	7728	14448	14212
chaco	1o de mayo	97	5335	86	6	4787	10311	10122
chaco	2 de abril	55	2542	27	0	2131	4755	4673
chaco	25 de mayo	138	7565	117	0	11666	19486	19231
chaco	9 de julio	174	8366	177	6	9591	18314	17957
chaco	almirante brown	159	8546	123	6	12900	21734	21446
chaco	bermejo	216	6755	134	16	11436	18557	18191
chaco	chacabuco	166	11413	199	9	8532	20319	19945
chaco	comandante fernandez	522	35521	712	22	26857	63634	62378
chaco	fray justo santa maria de oro	97	3152	39	1	3548	6837	6700
chaco	general belgrano	69	2613	40	7	4902	7631	7515
chaco	general donovan	80	4766	107	7	5389	10349	10155
chaco	general guemes	269	15228	292	13	24697	40499	39925
chaco	independencia	102	5295	69	3	8253	13722	13548
chaco	libertad	98	5244	103	1	4626	10072	9870
chaco	libertador general san martin	272	15995	307	18	23968	40560	39963
chaco	maipu	172	6338	55	0	8556	15121	14894
chaco	mayor luis j. fontana	493	18748	322	5	18767	38335	37515
chaco	o'higgins	137	5063	60	1	8190	13451	13253
