provincia	departamen	EN BLANCO	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	HACEMOS POR NUESTRO PAIS	JUNTOS POR EL CAMBIO	LA LIBERTAD AVANZA	NULO	OTRO	UNION POR LA PATRIA	total
san juan	jachal	225	336	894	2826	3709	148	9	7620	15767
san juan	pocito	627	884	2214	5575	14692	333	17	12678	37020
san juan	rawson	939	1847	5434	14085	27288	792	125	23744	74254
san juan	rivadavia	804	1246	3659	16550	19130	528	50	16337	58304
san juan	san martin	220	179	594	1163	2929	80	7	3506	8678
san juan	santa lucia	484	725	1947	10703	11641	374	12	8632	34518
san juan	sarmiento	246	245	643	3439	5353	150	5	5095	15176
san juan	ullum	55	90	0	388	907	8	3	2057	3508
san juan	valle fertil	63	80	318	1012	1455	30	0	1660	4618
san juan	zonda	41	69	162	413	1008	17	2	1371	3083
san luis	ayacucho	321	200	727	2427	5205	148	3	5226	14257
san luis	belgrano	57	56	121	661	963	15	2	1059	2934
san luis	chacabuco	292	246	1113	2957	6584	155	3	4792	16142
san luis	coronel pringles	204	135	404	1976	3982	110	6	3157	9974
san luis	general pedernera	1557	1763	5807	19622	41110	940	48	21472	92319
san luis	gobernador dupuy	189	90	247	1617	3576	37	3	2834	8593
san luis	la capital	2757	3896	8903	31565	66623	1603	262	39736	155345
san luis	junin	398	541	2553	5322	9171	379	9	6895	25268
san luis	libertador general san martin	92	37	142	677	1037	25	3	1510	3523
santa cruz	corpen aike	656	176	468	1090	3177	111	13	3077	8768
santa cruz	deseado	5333	1857	5410	8655	23619	1231	124	23700	69929
santa cruz	guer aike	3236	1833	3754	13997	24359	1237	71	26160	74647
santa cruz	lago argentino	553	616	766	1985	4759	310	47	6212	15248
santa cruz	lago buenos aires	596	176	283	854	2581	107	18	2864	7479
santa cruz	magallanes	517	184	476	1141	2867	68	11	1837	7101
santa cruz	rio chico	377	106	154	379	988	39	14	1212	3269
santa fe	9 de julio	142	172	1130	4029	7342	119	14	5278	18226
santa fe	belgrano	354	333	4093	8272	10957	253	2	6038	30302
santa fe	caseros	587	899	7131	15939	18238	552	21	11612	54979
santa fe	castellanos	933	1350	16537	33085	39564	1106	60	21353	113988
santa fe	constitucion	599	1229	6378	14256	17747	635	27	18339	59210
santa fe	garay	118	133	716	3381	4827	141	9	4314	13639
santa fe	general lopez	1193	1856	13354	36915	44550	1165	12	26609	125654
santa fe	general obligado	859	1185	8056	27734	38440	1064	52	36272	113662
santa fe	iriondo	507	744	5710	11564	15749	421	0	11021	45716
santa fe	la capital	2615	5661	25068	85542	97083	4075	255	94217	314516
santa fe	las colonias	655	766	6852	20094	28144	690	48	11560	68809
santa fe	rosario	7157	19504	54449	203995	219820	11072	502	262897	779396
santa fe	san cristobal	325	416	5221	10545	14275	326	35	10249	41392
santa fe	san javier	200	166	1410	4519	5728	232	1	6710	18966
santa fe	san jeronimo	562	688	5278	13367	17065	489	13	13648	51110
santa fe	san justo	202	246	2680	7342	9888	303	3	6304	26968
santa fe	san lorenzo	1145	2489	11091	26104	43498	1470	202	35170	121169
santa fe	san martin	327	425	5984	11214	15461	513	1	7693	41618
santa fe	vera	311	291	2067	6780	9437	309	14	11957	31166
santiago del estero	aguirre	72	32	109	977	1142	31	6	3018	5387
santiago del estero	alberdi	84	44	84	459	1888	24	10	7279	9872
santiago del estero	atamisqui	61	46	105	236	1305	29	19	6477	8278
santiago del estero	avellaneda	117	133	199	730	2612	41	22	11407	15261
santiago del estero	banda	1617	1385	2189	7840	24562	801	186	65175	103755
santiago del estero	belgrano	68	64	156	808	2532	34	7	2737	6406
santiago del estero	capital	3192	3786	5020	22506	52471	1670	324	114186	203155
santiago del estero	choya	277	331	887	1674	4345	171	30	17402	25117
santiago del estero	copo	177	157	304	910	3837	47	21	13970	19423
santiago del estero	figueroa	52	59	113	284	900	40	12	9736	11196
santiago del estero	general taboada	332	230	594	1866	6213	140	37	19011	28423
santiago del estero	guasayan	42	51	73	283	822	14	6	4441	5732
santiago del estero	jimenez	63	42	77	278	1287	28	23	7203	9001
santiago del estero	juan f. ibarra	106	77	154	633	2035	38	10	7992	11045
santiago del estero	loreto	178	125	360	968	3416	78	24	9553	14702
santiago del estero	mitre	10	3	18	121	138	3	5	375	673
santiago del estero	moreno	214	117	353	1361	5774	83	42	14830	22774
santiago del estero	ojo de agua	160	68	470	805	2373	60	25	5931	9892
santiago del estero	pellegrini	128	54	131	611	2322	27	23	11086	14382
santiago del estero	quebrachos	49	64	319	604	1807	38	18	3143	6042
santiago del estero	rio hondo	472	530	633	2183	8044	340	49	27974	40225
santiago del estero	rivadavia	9	22	132	669	909	11	7	1286	3045
santiago del estero	robles	365	236	569	2138	7612	148	40	21413	32521
santiago del estero	salavina	58	31	88	267	1307	26	14	5135	6926
santiago del estero	san martin	44	35	60	161	652	31	11	4973	5967
santiago del estero	sarmiento	31	12	20	114	298	4	11	2012	2502
santiago del estero	silipica	77	51	88	275	741	28	7	5118	6385
tierra del fuego	islas del atlantico sur	1	4	6	44	137	1	0	8	201
tierra del fuego	rio grande	805	2307	4814	7907	19826	1051	84	25187	61981
tierra del fuego	ushuaia	782	1780	4894	7924	15928	734	75	15353	47470
tucuman	burruyacu	412	222	563	1956	7960	115	9	19127	30364
tucuman	capital	9506	6799	17570	70807	134068	3697	296	124880	367623
tucuman	chicligasta	1029	590	2241	8898	18871	401	3	26068	58101
tucuman	cruz alta	2852	2197	4207	11459	49213	1069	105	75761	146863
tucuman	famailla	492	257	872	2143	9638	197	5	13591	27195
tucuman	graneros	171	61	205	658	2113	32	2	7029	10271
tucuman	juan b. alberdi	335	173	694	2778	6909	103	4	10992	21988
