provincia	departamen	EN BLANCO	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	HACEMOS POR NUESTRO PAIS	JUNTOS POR EL CAMBIO	LA LIBERTAD AVANZA	NULO	OTRO	UNION POR LA PATRIA	total
tucuman	la cocha	213	82	324	1218	4317	87	1	7961	14203
tucuman	leales	631	275	992	5262	11221	262	18	23924	42585
tucuman	lules	987	495	1918	5859	18228	406	59	20199	48151
tucuman	monteros	741	449	1705	4300	13817	208	16	27605	48841
tucuman	rio chico	802	373	1313	3504	11107	173	13	25969	43254
tucuman	simoca	315	134	561	2053	6006	78	1	15310	24458
tucuman	tafi del valle	257	194	448	1098	3932	129	28	7003	13089
tucuman	tafi viejo	2054	1784	4961	12111	41138	1048	135	40079	103310
tucuman	trancas	283	106	453	1236	4982	112	19	6585	13776
tucuman	yerba buena	1336	961	3059	17790	22472	544	109	19062	65333
