provincia	departamen	Blanco	LLA	NULO	OTRO	UxP	total	total.valido
buenos aires	loberia	185	0.5628058727569332	303	5	0.4371941272430669	10914	10421
buenos aires	lobos	698	0.6225801269178247	192	18	0.3774198730821753	25806	24898
buenos aires	lomas de zamora	7383	0.4143557666319163	5451	221	0.5856442333680837	401540	388485
buenos aires	lujan	1182	0.5671758548102634	1130	52	0.4328241451897366	72672	70308
buenos aires	magdalena	314	0.5638684588722631	117	1	0.43613154112773694	12261	11829
buenos aires	maipu	99	0.5696961248954558	172	0	0.4303038751045442	7445	7174
buenos aires	malvinas argentinas	2667	0.43331860403896055	2295	238	0.5666813959610395	217928	212728
buenos aires	mar chiquita	374	0.539035950634949	254	0	0.460964049365051	22992	22364
buenos aires	marcos paz	662	0.4174445420601801	394	7	0.5825554579398199	37487	36424
buenos aires	mercedes	775	0.5939779781594091	855	21	0.4060220218405909	45789	44138
buenos aires	merlo	4741	0.40051977865385807	3450	322	0.599480221346142	315182	306669
buenos aires	monte	338	0.5846460755314026	228	12	0.41535392446859737	15115	14537
buenos aires	monte hermoso	165	0.5295244174912225	63	3	0.4704755825087775	6497	6266
buenos aires	moreno	5029	0.4049970968889888	2376	254	0.5950029031110112	274614	266955
buenos aires	moron	4341	0.5054277342811855	3825	180	0.4945722657188145	216536	208190
buenos aires	navarro	146	0.6193191489361702	179	0	0.38068085106382976	12075	11750
buenos aires	necochea	1246	0.6259510420112471	1079	10	0.3740489579887529	62795	60460
buenos aires	olavarria	1281	0.5849195246371897	1560	37	0.41508047536281034	73645	70767
buenos aires	patagones	309	0.5815030040382153	355	1	0.4184969959617847	20971	20306
buenos aires	pehuajo	431	0.5849231682874323	541	0	0.41507683171256776	27914	26942
buenos aires	pellegrini	81	0.6945825700078514	41	0	0.30541742999214866	3943	3821
buenos aires	pergamino	1054	0.6255287980029	1128	57	0.37447120199710004	69136	66897
buenos aires	pila	42	0.5683901723505684	55	1	0.4316098276494316	2825	2727
buenos aires	pilar	2497	0.521137201667485	2700	113	0.478862798332515	213048	207738
buenos aires	pinamar	245	0.6528731217896404	368	12	0.34712687821035954	21456	20831
buenos aires	presidente peron	610	0.39856896033653844	817	25	0.6014310396634616	54700	53248
buenos aires	puan	190	0.7058528260214838	215	0	0.2941471739785162	10366	9961
buenos aires	punta indio	109	0.5818693844709669	113	2	0.41813061552903313	7681	7457
buenos aires	quilmes	6956	0.43368644419943375	3381	184	0.5663135558005662	371503	360982
buenos aires	ramallo	509	0.5414781297134238	168	3	0.45852187028657615	24548	23868
buenos aires	rauch	349	0.5318186288974132	161	11	0.4681813711025868	10688	10167
buenos aires	rivadavia	210	0.6373826665451563	84	0	0.3626173334548437	11267	10973
buenos aires	rojas	332	0.6188361308862909	296	4	0.3811638691137091	15943	15311
buenos aires	roque perez	128	0.6036098576883027	114	4	0.39639014231169734	8889	8643
buenos aires	saavedra	226	0.6887735337413806	341	1	0.3112264662586193	13475	12907
buenos aires	saladillo	405	0.6405652457793116	539	3	0.3594347542206884	22389	21442
buenos aires	salliquelo	59	0.5903934774902517	71	2	0.4096065225097483	5774	5642
buenos aires	salto	564	0.6011061946902655	140	1	0.3988938053097345	23305	22600
buenos aires	san andres de giles	475	0.5776210323821738	89	4	0.42237896761782623	16163	15595
buenos aires	san antonio de areco	278	0.6369434639915784	329	12	0.3630565360084216	16768	16149
buenos aires	san cayetano	118	0.6571645762067655	68	0	0.3428354237932345	5448	5262
buenos aires	san fernando	2073	0.49842072646582575	844	77	0.5015792735341743	103040	100046
buenos aires	san isidro	4595	0.6465353966683735	3505	206	0.3534646033316266	209469	201163
buenos aires	san miguel	2722	0.5097799712790717	2653	100	0.4902200287209283	187224	181749
buenos aires	san nicolas	2257	0.566351500510236	1079	64	0.43364849948976403	99434	96034
buenos aires	san pedro	606	0.5882072153552407	600	7	0.4117927846447593	41017	39804
buenos aires	san vicente	719	0.44522487568845187	528	30	0.5547751243115482	46124	44847
buenos aires	suipacha	91	0.5426670146137788	85	8	0.4573329853862213	7848	7664
buenos aires	tandil	1919	0.6181350839296704	1968	60	0.3818649160703296	86814	82867
buenos aires	tapalque	159	0.5686489879177782	50	2	0.4313510120822219	6584	6373
buenos aires	tigre	3921	0.5205420642506521	3624	126	0.4794579357493479	254579	246908
buenos aires	tordillo	13	0.575671045117076	28	5	0.42432895488292405	1797	1751
buenos aires	tornquist	209	0.647064411932358	143	1	0.352935588067642	10879	10526
buenos aires	trenque lauquen	606	0.6368061309030655	517	5	0.3631938690969346	30096	28968
buenos aires	tres arroyos	646	0.573403747147179	725	9	0.426596252852821	39062	37682
buenos aires	tres de febrero	4074	0.49907591697469433	3566	233	0.5009240830253057	218893	211020
buenos aires	tres lomas	128	0.5838317178799752	76	1	0.41616828212002477	5054	4849
buenos aires	vicente lopez	5176	0.6260505193578848	3643	121	0.3739494806421152	178380	169440
buenos aires	villa gesell	327	0.5699172033118676	359	16	0.4300827966881325	22442	21740
buenos aires	villarino	283	0.7068576584705617	369	5	0.2931423415294383	18389	17732
buenos aires	zarate	1506	0.5015685914180329	954	32	0.4984314085819671	78675	76183
catamarca	ambato	47	0.4423963133640553	38	3	0.5576036866359447	4211	4123
catamarca	ancasti	17	0.3956714761376249	33	0	0.6043285238623751	1852	1802
catamarca	andalgala	115	0.5170311939763356	142	2	0.4829688060236644	11415	11156
catamarca	belen	199	0.529001109153781	186	8	0.4709988908462191	15720	15327
catamarca	capayan	114	0.4348042138739813	106	7	0.5651957861260187	10289	10062
catamarca	capital	1145	0.5792474110530094	1449	112	0.4207525889469907	100236	97530
catamarca	el alto	35	0.3425897035881435	36	0	0.6574102964118564	3276	3205
catamarca	fray mamerto esquiu	262	0.5376159395396771	144	1	0.46238406046032293	9140	8733
catamarca	la paz	211	0.37831661800177735	152	6	0.6216833819982227	16123	15754
catamarca	paclin	21	0.41243961352657005	17	12	0.5875603864734299	3362	3312
catamarca	poman	49	0.4495015171218032	70	0	0.5504984828781968	7040	6921
catamarca	santa maria	131	0.563033422372793	203	6	0.436966577627207	15689	15349
catamarca	santa rosa	64	0.4035551285130915	76	0	0.5964448714869085	8466	8326
catamarca	tinogasta	195	0.5481243636933197	204	2	0.45187563630668026	13170	12769
catamarca	valle viejo	211	0.5554162487462387	326	11	0.44458375125376126	20488	19940
chaco	12 de octubre	137	0.4562341683084717	96	3	0.5437658316915283	14448	14212
chaco	1o de mayo	97	0.5270697490614503	86	6	0.4729302509385497	10311	10122
chaco	2 de abril	55	0.5439760325272844	27	0	0.4560239674727156	4755	4673
chaco	25 de mayo	138	0.393375279496646	117	0	0.6066247205033539	19486	19231
chaco	9 de julio	174	0.46589073898758143	177	6	0.5341092610124185	18314	17957
chaco	almirante brown	159	0.39848922876060805	123	6	0.601510771239392	21734	21446
chaco	bermejo	216	0.37133747457533944	134	16	0.6286625254246605	18557	18191
chaco	chacabuco	166	0.572223614941088	199	9	0.427776385058912	20319	19945
chaco	comandante fernandez	522	0.569447561640322	712	22	0.4305524383596781	63634	62378
chaco	fray justo santa maria de oro	97	0.47044776119402987	39	1	0.5295522388059701	6837	6700
chaco	general belgrano	69	0.34770459081836325	40	7	0.6522954091816368	7631	7515
chaco	general donovan	80	0.4693254554406696	107	7	0.5306745445593304	10349	10155
chaco	general guemes	269	0.3814151534126487	292	13	0.6185848465873512	40499	39925
chaco	independencia	102	0.3908325952170062	69	3	0.6091674047829938	13722	13548
chaco	libertad	98	0.5313069908814589	103	1	0.46869300911854106	10072	9870
chaco	libertador general san martin	272	0.4002452268348222	307	18	0.5997547731651778	40560	39963
chaco	maipu	172	0.42554048610178596	55	0	0.574459513898214	15121	14894
chaco	mayor luis j. fontana	493	0.49974676795948286	322	5	0.5002532320405171	38335	37515
chaco	o'higgins	137	0.3820267109333736	60	1	0.6179732890666264	13451	13253
chaco	presidencia de la plaza	62	0.4533282809144878	97	0	0.5466717190855122	8076	7917
chaco	quitilipi	198	0.48366541923738243	130	0	0.5163345807626176	20102	19774
chaco	san fernando	2148	0.5720818335414677	3593	213	0.4279181664585323	278214	272260
chaco	san lorenzo	82	0.35856981866612025	92	2	0.6414301813338797	9937	9761
chaco	sargento cabral	91	0.40168898746054765	82	0	0.5983110125394524	11896	11723
chaco	tapenaga	21	0.4399624765478424	23	3	0.5600375234521576	2179	2132
chubut	biedma	818	0.6205309734513275	1893	59	0.37946902654867254	59270	56500
chubut	cushamen	292	0.4441655478372541	601	2	0.5558344521627459	18026	17131
chubut	escalante	1715	0.59649547331970465	3290	80	0.4035045266802954	124930	119845
chubut	futaleufu	515	0.5637387783840873	1069	15	0.4362612216159127	30004	28405
chubut	gaiman	93	0.6601993355481728	245	7	0.3398006644518272	7870	7525
chubut	languineo	32	0.47542003733665217	60	0	0.5245799626633478	1699	1607
chubut	martires	5	0.5299145299145299	5	0	0.4700854700854701	361	351
chubut	paso de indios	15	0.4582441113490364	14	0	0.5417558886509636	963	934
chubut	rawson	1313	0.6040266868553043	2823	60	0.39597331314469575	88732	84536
chubut	rio senguer	34	0.5214685749844431	80	0	0.47853142501555695	3328	3214
chubut	sarmiento	63	0.6201080511266307	173	4	0.37989194887336936	7829	7589
chubut	tehuelches	52	0.49921210211156636	94	1	0.5007878978884337	3320	3173
ciudad autonoma de buenos aires	comuna 1	2591	0.5770634742141412	2029	62	0.4229365257858589	120288	115606
ciudad autonoma de buenos aires	comuna 2	3143	0.7223325870568327	1529	36	0.2776674129431674	99847	95139
ciudad autonoma de buenos aires	comuna 3	2516	0.5370656913771276	2262	64	0.46293430862287244	111477	106635
ciudad autonoma de buenos aires	comuna 4	2459	0.500679047316017	2761	83	0.499320952683983	134160	128857
ciudad autonoma de buenos aires	comuna 5	3383	0.5125737630503858	2416	69	0.4874262369496142	116018	110150
ciudad autonoma de buenos aires	comuna 6	4412	0.5644437237565288	2581	78	0.43555627624347115	124243	117172
ciudad autonoma de buenos aires	comuna 7	3456	0.5504989924191537	2741	68	0.4495010075808464	131317	125052
ciudad autonoma de buenos aires	comuna 8	1608	0.49550764125239233	2066	59	0.5044923587476077	109802	106069
ciudad autonoma de buenos aires	comuna 9	2596	0.5412917105323385	2305	56	0.45870828946766146	114192	109235
ciudad autonoma de buenos aires	comuna 10	3309	0.5544909189457341	2621	64	0.44550908105426584	114847	108853
ciudad autonoma de buenos aires	comuna 11	4200	0.5786638778366647	3028	111	0.42133612216333527	134513	127174
ciudad autonoma de buenos aires	comuna 12	4804	0.5794043789853845	3436	102	0.42059562101461545	150110	141768
ciudad autonoma de buenos aires	comuna 13	6412	0.6688268170964194	2875	69	0.3311731829035805	163049	153693
ciudad autonoma de buenos aires	comuna 14	5523	0.6666386742805956	2544	69	0.3333613257194043	151032	142896
ciudad autonoma de buenos aires	comuna 15	3844	0.5043956787096993	2690	91	0.49560432129030074	124923	118298
cordoba	calamuchita	745	0.7211972212197763	1131	14	0.27880277878022375	46226	44336
cordoba	capital	13781	0.750265124935168	18946	452	0.24973487506483205	852604	819425
cordoba	colon	2686	0.7686295197747717	3913	80	0.23137048022522838	192446	185767
cordoba	cruz del eje	409	0.5292731060190768	753	16	0.47072689398092316	37662	36484
cordoba	general roca	281	0.7330556236216613	321	2	0.2669443763783386	21009	20405
cordoba	general san martin	1462	0.7081856636561107	1729	33	0.2918143363438893	90694	87470
cordoba	ischilin	262	0.6647479342679417	388	0	0.3352520657320583	22192	21542
cordoba	juarez celman	629	0.7669261560374254	849	5	0.2330738439625746	42204	40721
cordoba	marcos juarez	1508	0.7510980966325037	988	16	0.24890190336749635	68080	65568
cordoba	minas	49	0.4871299871299871	62	0	0.5128700128700129	3219	3108
cordoba	pocho	48	0.6273789649415693	46	0	0.3726210350584307	3089	2995
cordoba	presidente roque saenz pena	336	0.7345345881093618	428	1	0.2654654118906382	23186	22421
cordoba	punilla	2037	0.7358533496143373	3511	41	0.2641466503856626	137440	131851
cordoba	rio cuarto	2705	0.7325344115186697	3747	25	0.26746558848133034	164273	157796
cordoba	rio primero	402	0.7755338766283981	530	5	0.22446612337160193	34559	33622
cordoba	rio seco	136	0.6526709401709402	154	1	0.3473290598290598	9651	9360
cordoba	rio segundo	1043	0.786360617632409	1585	4	0.2136393823675909	74908	72276
cordoba	san alberto	443	0.6561722977914289	601	9	0.343827702208571	28401	27348
cordoba	san javier	467	0.6291901824386402	796	24	0.3708098175613598	39382	38095
cordoba	san justo	2190	0.7572138084150887	2655	55	0.24278619158491138	143627	138727
cordoba	santa maria	1279	0.7617393603596024	2086	19	0.2382606396403976	86587	83203
cordoba	sobremonte	33	0.5252020007695267	39	0	0.4747979992304733	2671	2599
cordoba	tercero arriba	1452	0.7683747029842531	1521	23	0.23162529701574686	77487	74491
cordoba	totoral	160	0.7547439006991011	185	6	0.24525609930089884	14369	14018
cordoba	tulumba	105	0.6360028017744571	146	1	0.36399719822554283	8818	8566
cordoba	union	1291	0.7301742221186341	1073	7	0.2698257778813658	71019	68648
